category,Total set price
May 19,121.93
May 20,562.08
May 21,1268.71
May 22,1421.93
May 23,1589.15
May 24,1580.51
May 25,1616.52
May 26,1566.82
May 27,1648.63
May 28,1271.29
May 29,1207.66
May 30,1164.13
May 31,1156.32
Jun 01,1197.62
Jun 02,1213.93
Jun 03,1227.99
Jun 04,1235.83
Jun 05,1242.61
Jun 06,1247.73
Jun 07,1236.34
Jun 08,1225.03
